variantId,model,ram,storage,saleMode,rrp,netPrice,startDate,endDate,sourceFileDisplayName,sourceSheet,archiveReason
RET- 17-18-R25-SF_PLUS,Galaxy Z Fold 7,N/A,512GB,SF_PLUS,75900.0,57900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R26-SF_PLUS,Galaxy Z Fold 7,N/A,256GB,SF_PLUS,67900.0,49900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R27-SF_PLUS,Galaxy Z Flip7,N/A,512GB,SF_PLUS,48900.0,37900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R28-SF_PLUS,Galaxy Z Flip7,N/A,256GB,SF_PLUS,40900.0,29900.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R29-SF_PLUS,Galaxy A57 5G,N/A,12/512GB,SF_PLUS,20999.0,20999.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R29-STUDENT,Galaxy A57 5G,N/A,12/512GB,STUDENT,20999.0,18479.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R30-SF_PLUS,Galaxy A57 5G,N/A,12/256GB,SF_PLUS,17999.0,17999.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R30-STUDENT,Galaxy A57 5G,N/A,12/256GB,STUDENT,17999.0,15479.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R31-SF_PLUS,Galaxy A57 5G,N/A,8/256GB,SF_PLUS,16999.0,16999.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R31-STUDENT,Galaxy A57 5G,N/A,8/256GB,STUDENT,16999.0,14449.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R32-STANDARD_PAYMENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,12/512GB,STANDARD_PAYMENT,20999.0,18999.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R32-STUDENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,12/512GB,STUDENT,20999.0,18479.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R33-STANDARD_PAYMENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,12/256GB,STANDARD_PAYMENT,17999.0,15999.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R33-STUDENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,12/256GB,STUDENT,17999.0,15479.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
RET- 17-18-R34-STANDARD_PAYMENT,"Galaxy A57 5G 
(ไม่สามารถใช้ร่วมกับ SF+ ได้)",N/A,8/256GB,STANDARD_PAYMENT,16999.0,14999.0,2026-08-17,2026-08-18,Promotion Retail Aug 2026.xlsx, 17-18  Aug,Expired campaign ( 17-18  Aug)
